pmid,title,abstract,include/exclude
22271897,The human immunodeficiency virus-1 protease inhibitor nelfinavir impairs proteasome activity and inhibits the proliferation of multiple myeloma cells in vitro and in vivo.,"BACKGROUND: Multiple myeloma is characterized by the accumulation of tumor plasma cells in the bone marrow. Despite therapeutic improvements brought by proteasome inhibitors such as bortezomib, myeloma remains an incurable disease. In a variety of human cancers, human immunodeficiency virus protease inhibitors (e.g. nelfinavir) effectively inhibit tumor progression, but their impact on myeloma is unknown. We assessed the in vitro and in vivo effects of nelfinavir on multiple myeloma. DESIGN AND METHODS: The effects of nelfinavir (1-10 Î¼M) on proteasome activity, proliferation and viability of myeloma cell lines and plasma cells from patients were assessed by measuring PERK, AKT, STAT3 and ERK1/2 phosphorylation and CHOP expression with immunoblotting or flow cytometry. The in vivo effect was assessed in NOD/SCID mice injected with luciferase expressing human myeloma cell lines and treated with nelfinavir at a dose of 75 mg/kg/day. Tumor progression was evaluated using a bioluminescent system. RESULTS: Nelfinavir inhibited 26S chymotrypsin-like proteasome activity, impaired proliferation and triggered apoptosis of the myeloma cell lines and fresh plasma cells. It activated the pro-apoptotic unfolded protein response pathway by inducing PERK phosphorylation and CHOP expression. Cell death triggered by nelfinavir treatment correlated with decreased phosphorylation of AKT, STAT3 and ERK1/2. Nelfinavir enhanced the anti-proliferative activity of bortezomib, dexamethasone and histone deacetylase inhibitors and delayed tumor growth in a myeloma mouse model. CONCLUSIONS: These results suggest that nelfinavir, used at a pharmacological dosage, alone or in combination, may be useful in the treatment of myeloma. Our data provide a preclinical basis for clinical trials using nelfinavir in patients with myeloma.",include
29180476,"A Potent, Metabolically Stable Tubulin Inhibitor Targets the Colchicine Binding Site and Overcomes Taxane Resistance.","Antimitotics that target tubulin are among the most useful chemotherapeutic drugs, but their clinical activity is often limited by the development of multidrug resistance. We recently discovered the novel small-molecule DJ101 as a potent and metabolically stable tubulin inhibitor that can circumvent the drug efflux pumps responsible for multidrug resistance of existing tubulin inhibitors. In this study, we determined the mechanism of action of this drug. The basis for its activity was illuminated by solving the crystal structure of DJ101 in complex with tubulin at a resolution of 2.8Ã…. Investigations of the potency of DJ101 in a panel of human metastatic melanoma cell lines harboring major clinically relevant mutations defined IC<sub>50</sub> values of 7-10 nmol/L. In cells, DJ101 disrupted microtubule networks, suppressed anchorage-dependent melanoma colony formation, and impaired cancer cell migration. In melanoma-bearing mice, DJ101 administration inhibited tumor growth and reduced lung metastasis in the absence of observable toxicity. DJ101 also completely inhibited tumor growth in a paclitaxel-resistant xenograft mouse model of human prostate cancer (PC-3/TxR), where paclitaxel was minimally effective. Our findings offer preclinical proof of concept for the continued development of DJ101 as a next-generation tubulin inhibitor for cancer therapy.<b>Significance:</b> These findings offer preclinical proof of concept for the continued development of DJ101 as a next-generation antitubulin drug for cancer therapy. <i>Cancer Res; 78(1); 265-77. Â©2017 AACR</i>.",exclude
30591447,Combining Desmopressin and Docetaxel for the Treatment of Castration-Resistant Prostate Cancer in an Orthotopic Model.,"BACKGROUND/AIM: Desmopressin is a synthetic analogue of the antidiuretic hormone vasopressin. It has recently been demonstrated to inhibit tumor progression and metastasis in breast cancer models. Docetaxel is a chemotherapy agent for castrate-resistant prostate cancer (CRPC). In this study, the ability of CRPC cells to grow and develop in vivo tumors in an animal model was evaluated, in order to investigate the anti-tumor effect of desmopressin in combination with docetaxel. MATERIALS AND METHODS: The CRPC cell line PC3 was used for orthotopic inoculation in male athymic nude mice. The mice were randomly assigned to one of the four treatment groups: Control, docetaxel, desmopressin or combination therapy. Following the last treatment, tumors were excised and measured. Blood samples were processed for CTC analysis. RESULTS: Docetaxel treatment resulted in a significant reduction in tumor volume compared to control. The combination therapy resulted in even more significant reduction (31.2%) in tumor volume. There was a complete absence of CTCs in the combination group. CONCLUSION: Our pilot study demonstrated an enhanced efficacy of docetaxel-based therapy in combination with desmopressin.",include
25846632,"The novel desmopressin analogue [V4Q5]dDAVP inhibits angiogenesis, tumour growth and metastases in vasopressin type 2 receptor-expressing breast cancer models.","Desmopressin (dDAVP) is a safe haemostatic agent with previously reported antitumour activity. It acts as a selective agonist for the V2 vasopressin membrane receptor (V2r) present on tumour cells and microvasculature. The purpose of this study was to evaluate the novel peptide derivative [V4Q5]dDAVP in V2r-expressing preclinical mouse models of breast cancer. We assessed antitumour effects of [V4Q5]dDAVP using human MCF-7 and MDA-MB-231 breast carcinoma cells, as well as the highly metastatic mouse F3II cell line. Effect on in vitro cancer cell growth was evaluated by cell proliferation and clonogenic assays. Cell cycle distribution was analysed by flow cytometry. In order to study the effect of intravenously administered [V4Q5]dDAVP on tumour growth and angiogenesis, breast cancer xenografts were generated in athymic mice. F3II cells were injected into syngeneic mice to evaluate the effect of [V4Q5]dDAVP on spontaneous and experimental metastatic spread. In vitro cytostatic effects of [V4Q5]dDAVP against breast cancer cells were greater than those of dDAVP, and associated with V2r-activated signal transduction and partial cell cycle arrest. In MDA-MB-231 xenografts, [V4Q5]dDAVP (0.3 Âµg/kg, thrice a week) reduced tumour growth and angiogenesis. Treatment of F3II mammary tumour-bearing immunocompetent mice resulted in complete inhibition of metastatic progression. [V4Q5]dDAVP also displayed greater antimetastatic efficacy than dDAVP on experimental lung colonisation by F3II cells. The novel analogue was well tolerated in preliminary acute toxicology studies, at doses â‰¥ 300-fold above that required for anti-angiogenic/antimetastatic effects. Our data establish the preclinical activity of [V4Q5]dDAVP in aggressive breast cancer, providing the rationale for further clinical trials.",exclude
27779705,Diphenhydramine induces melanoma cell apoptosis by suppressing STAT3/MCL-1 survival signaling and retards B16-F10 melanoma growth in vivo.,"Melanoma is the most aggressive skin malignancy with a high rate of mortality and is frequently refractory to many therapeutics, thus demanding the discovery of novel effective anti-melanoma agents. DiphenhydramineÂ (DPH) is an H1 histamine receptor antagonist and a relatively safe drug. Previous studies have revealed the inÂ vitro cytotoxicity of DPH against melanoma cells, but the mechanisms involved concerning its cytotoxicity and the inÂ vivo anti-melanoma effect remain unknown. We herein present the first evidence supporting that DPH is selectively proapoptotic for a panel of melanoma cell lines irrespective of BRAFV600E status while sparing normal melanocytes. Of note, DPH effectively suppressed tumor growth and prolonged the length of survival of mice bearing B16-F10 melanoma. Mechanistic investigation further revealed that DPH downregulated antiapoptotic MCL-1, whereas MCL-1 overexpression impeded the proapoptotic action of DPH. Moreover, DPH attenuated STAT3 activation, as evidenced by the reduced levels of tyrosine 705-phosphorylated STAT3. Notably, ectopic expression of constitutively active STAT3 mutant reduced DPH-induced apoptosis but also protected MCL-1 from downregulation by DPH, illustrating that DPH impairs STAT3 activation to block STAT3-mediated induction of MCL-1 in eliciting apoptosis. Collectively, we for the first time validate the inÂ vivo antiâ€‘melanoma effect of DPH and also establish DPH as a drug targeting STAT3/MCL-1 survival signaling pathway to induce apoptosis. Our discovery therefore suggests the potential to repurpose DPH as an anti-melanoma therapeutic agent.",include
19143029,Piperazine-designed alpha 1A/alpha 1D-adrenoceptor blocker KMUP-1 and doxazosin provide down-regulation of androgen receptor and PSA in prostatic LNCaP cells growth and specifically in xenografts.,"BACKGROUND: KMUP-1 has been suggested to be beneficial in the treatment of benign prostatic hyperplasia. This study is aimed to further investigate whether KMUP-1 and doxazosin prevent from prostate cancer cell growth via androgen-dependent and -independent pathway in vivo and in vitro. METHODS: KMUP-1 was measured the activity on proliferation, apoptosis and cell cycle distribution in prostate cancer cells (LNCaP, DU-145, PC-3) by MTT assay, flow cytometry, Western Blotting and enzyme-linked immunosorbent assay (ELISA). The inhibition activities on androgen receptor (AR) and AR-targeting molecular prostate-specific antigen (PSA) expression by KMUP-1 and doxazosin were measured by RT-PCR, Western Blotting, and ELISA. Furthermore, we confirmed the effects of KMUP-1 on growth of LNCaP xenografts in nude mice. RESULTS: KMUP-1 significantly inhibited LNCaP cell growth and induced apoptosis in time- and dose-dependent manner. KMUP-1 and doxazosin further inhibited the expression of AR and PSA. Treatment of LNCaP cells with KMUP-1 resulted in cell cycle arrest and apoptotic activities, increasing p21 and p27 and decreasing expressions of cyclin D1, cyclin E, cyclin dependent kinase (CDK) 4, CDK2 and CDK6. Moreover, KMUP-1 activated p53, cleaved poly (ADP-ribose) polymerase and caspase-3, but reduced the expression of Bcl-2. Regular administration of KMUP-1 suppressed the LNCaP xenograft tumor growth in nude mice. CONCLUSION: These evidences indicate that KMUP-1 and doxazosin inhibit LNCaP cell growth and downregulate expression of AR and PSA. KMUP-1 might be used as a chemoprevention agent for preventing the development of prostate cancer without cardiovascular adverse effect of doxazosin.",exclude
15082280,Effects of aminophylline on cytokines and pulmonary function in patients undergoing valve replacement.,"OBJECTIVE: This study is to evaluate the effects of aminophylline on systemic inflammatory response after cardiopulmonary bypass in patients undergoing valve replacement. METHODS: Thirty patients undergoing elective valve replacement were randomized to receive either aminophylline treatment (aminophylline, n = 15) or no aminophylline (control, n = 15). Administration of aminophylline (5 mg/kg) was injected intravenously after induction of anesthesia and maintained with 0.5 mg/kg per h until the end of cardiopulmonary bypass. Perioperative cytokines (interleukin-8 and interleukin-10, tumor necrosis factor-alpha) and respiratory function, blood neutrophil count ratio of right atrium to that of left atrium, plasma malondialdehyde were measured during the experiment. RESULTS: Interleukin-8 and tumor necrosis factor-alpha levels after cardiopulmonary bypass were significantly lower in the aminophylline group than that in the control group (P < 0.05, for each group), and interleukin-10 level in aminophylline group was significantly higher than in control (P = 0.001). The respiratory index was greater in the control than in aminophylline group (P < 0.05). Neutrophil count ratio of right atrium blood to left atrium blood and plasma malondialdehyde level in aminophylline group were much lower (P = 0.02 and 0.001, respectively) than in the control 30 min after aortic declamping. Compared with control group, the duration of ventilation and intensive care unit stays were shorter in aminophylline group (P = 0.032 and 0.013, respectively). CONCLUSIONS: Intraoperative administration of aminophylline had anti-inflammatory effect and improved pulmonary oxygenation in patients undergoing valve replacement.",exclude
26457269,PATTERN OF OVERACTIVE BLADDER IN SOUTHEAST NIGERIA.,"BACKGROUND: Overactive bladder is a distressing condition characterized by the syndrome of uncontrollable urgency, day time frequency, nocturia with or without urgency urinary incontinence. AIM: To determine the pattern of overactive bladder in two tertiary health institutions in South-East Nigeria. STUDY DESIGN: The study is prospective. SETTING: Federal Teaching Hospital, Abakaliki and Niger Foundation Hospital and Diagnostic centre Enugu in southeastern Nigeria. METHOD: The study involved 383 patients who were diagnosed with overactive bladder in the two hospitals during the study period. Their demographics, clinical feature, management options and outcome were analyzed.Tolterodine was the anticholinegic used to treat the syndrome while the underlying pathology was treated accordingly. RESULT: There were 383 patients out of which 363 (94.8%) patients were males while 20 (5.2%) patients were females with the age range of 37yrs to103yrs with a mean of 63.4yrs. A total of 313 (81.7%) patients had prostatic disease (benign prostatic hyperplasia and cancer of the prostate), while 99 (25.8%) patients had diabetes mellitus. Among the 313(82 %) with prostate disease, two hundred and eighty nine (75.5%) had benign prostatic hyperplasia while twenty four (6.3%) had cancer of the prostate. Urgency, urinary incontinence and fecal incontinence were observed simultaneously in 133 (34.7%) patients during the episode of involuntary painful bladder contraction. In 271 (71%) patients, the overactive bladder was treated with Tolterodine alone and management of the underlying pathology with resolution of symptoms. Few patients benefitted from behavioral therapy. CONCLUSION: Overactive bladder in this environment is associated commonly with prostate diseases with urgency of urine, urine and fecal incontinence but responds well to anticholinergic.",exclude
25157375,Clinical utility of ammonia concentration as a diagnostic test in monitoring of the treatment with L-asparaginase in children with acute lymphoblastic leukemia.,"L-asparaginase (ASP) is an enzyme used as one of the basic regimens in the acute lymphoblastic leukemia (ALL) therapy. Because of the possibility of the enzyme inactivation by antibodies, monitoring of ASP activity is essential. The aim of the study was to examine if plasma concentration of ammonia, a direct product of the reaction catalyzed by ASP, can be used in the assessment of ASP activity. A group of 87 patients with acute lymphoblastic leukemia treated in the Department of Pediatric Oncology and Hematology in Krakow was enrolled to the study. ASP activity and ammonia concentration were measured after ASP administrations during induction. A positive correlation was found between the ammonia concentration and ASP activity (R = 0.44; P < 0.0001) and between the medium values of ammonia concentration and ASP activity (R = 0.56; P < 0.0001). The analysis of ROC curves revealed the moderate accuracy of the ammonia concentration values in the ASP activity assessment. It was also found that the medium value of ammonia concentrations can be useful in identification of the patients with low (<100â€‰IU/L) and undetectable (<30â€‰IU/L) ASP activity. The plasma ammonia concentration may reflect ASP activity and can be useful when a direct measurement of the activity is unavailable.",exclude
28068938,Acupuncture combined with methylcobalamin for the treatment of chemotherapy-induced peripheral neuropathy in patients with multiple myeloma.,"BACKGROUND: Chemotherapy-induced peripheral neuropathy (CIPN) seriously affects the quality of life of patients with multiple myeloma (MM) as well as the response rate to chemotherapy. Acupuncture has a potential role in the treatment of CIPN, but at present there have been no randomized clinical research studies to analyze the effectiveness of acupuncture for the treatment of CIPN, particularly in MM patients. METHODS: The MM patients (104 individuals) who met the inclusion criteria were randomly assigned into a solely methylcobalamin therapy group (500Â Î¼g intramuscular methylcobalamin injections every other day for 20Â days; ten injections) followed by 2Â months of 500Â Î¼g oral methylcobalamin administration, three times per day) and an acupuncture combined with methylcobalamin (Metâ€‰+â€‰Acu) group (methylcobalamin used the same way as above accompanied by three cycles of acupuncture). Of the patients, 98 out of 104 completed the treatment and follow-ups. There were 49 patients in each group. The evaluating parameters included the visual analogue scale (VAS) pain score, Functional Assessment of Cancer Therapy/Gynecologic Oncology Group-Neurotoxicity (Fact/GOG-Ntx) questionnaire scores, and electromyographic (EMG) nerve conduction velocity (NCV) determinations. We evaluated the changes of the parameters in each group before and after the therapies and made a comparison between the two groups. RESULTS: After 84Â days (three cycles) of therapy, the pain was significantly alleviated in both groups, with a significantly higher decrease in the acupuncture treated group (Pâ€‰<â€‰0.01). The patients' daily activity evaluated by Fact/GOG-Ntx questionnaires significantly improved in the Metâ€‰+â€‰Acu group (Pâ€‰<â€‰0.001). The NCV in the Metâ€‰+â€‰Acu group improved significantly while amelioration in the control group was not observed. CONCLUSIONS: The present study suggests that acupuncture combined with methylcobalamin in the treatment of CIPN showed a better outcome than methylcobalamin administration alone. TRIAL REGISTRATION: China Clinical Trials Register (registration no. ChiCTR-INR-16009079 , registration date August 24, 2016).",exclude
16838234,"A randomized, open-label, multicenter comparative study of the efficacy and safety of piperacillin-tazobactam and cefepime for the empirical treatment of febrile neutropenic episodes in patients with hematologic malignancies.","BACKGROUND: The empirical treatment of febrile, neutropenic patients with cancer requires antibacterial regimens active against both gram-positive and gram-negative pathogens. This study was performed to demonstrate the noninferiority of monotherapy with piperacillin-tazobactam, compared with cefepime. METHODS: We conducted a randomized-controlled, open-label, multicenter clinical trial among high-risk patients from 34 university-affiliated tertiary care medical centers in the United States, Canada, and Australia who were undergoing treatment for leukemia or hematopoietic stem cell transplantation and were hospitalized for empirical treatment of febrile neutropenic episodes. Patients received piperacillin-tazobactam (4.5 g every 6 h) or cefepime (2 g every 8 h) intravenously. The primary outcome was success (defined by defervescence without treatment modification) at 72 h of treatment, end of treatment, and test of cure in the modified intent-to-treat analysis. Secondary outcomes included time to defervescence, microbiological efficacy, the additional use of glycopeptide antibiotics, emergence of resistant bacteria, and safety. RESULTS: For 528 subjects (265 received piperacillin-tazobactam and 263 received cefepime), success rates were 57.7% and 48.3%, respectively (P = .04) at the 72-h time point, 39.6% and 31.6% (P = .06) at end of treatment, and 26.8% and 20.5% (P = .11) at the test-of-cure visit. The analyses demonstrated noninferiority for piperacillin-tazobactam at all time points (P< or = .0001). Treatment with piperacillin-tazobactam was independently associated with treatment success in multivariate analysis (odds ratio, 1.65; 95% confidence interval, 1.04-2.64; P = .035). Both regimens were well tolerated. CONCLUSIONS: This study demonstrates the noninferiority and safety of piperacillin-tazobactam monotherapy, compared with cefepime, for the empirical treatment of high-risk febrile neutropenic patients with cancer.",exclude
25151488,Randomized double-blind placebo-controlled trial of celecoxib for oral mucositis in patients receiving radiation therapy for head and neck cancer.,"OBJECTIVES: Oral mucositis (OM) is a painful complication of radiation therapy (RT) for head and neck cancer (H&NC). OM can compromise nutrition, require opioid analgesics and hospitalization for pain control, and lead to treatment interruptions. Based on the role of inflammatory pathways in OM pathogenesis, we investigated effect of cyclooxygenase-2 (COX-2) inhibition on severity and morbidity of OM. METHODS: In this double-blind placebo-controlled trial, 40 H&NC patients were randomized to daily use of 200 mg celecoxib or placebo, for the duration of RT. Clinical OM, normalcy of diet, pain scores, and analgesic use were assessed 2-3 times/week by blinded investigators during the 6-7 week RT period, using validated scales. RESULTS: Twenty subjects were randomized to each arm, which were similar with respect to tumor location, radiation dose, and concomitant chemotherapy. In both arms, mucositis and pain scores increased over course of RT. Intention-to-treat analyses demonstrated no significant difference in mean Oral Mucositis Assessment Scale (OMAS) scores at 5000 cGy (primary endpoint). There was also no difference between the two arms in mean OMAS scores over the period of RT, mean worst pain scores, mean normalcy of diet scores, or mean daily opioid medication use in IV morphine equivalents. There were no adverse events attributed to celecoxib use. CONCLUSIONS: Daily use of a selective COX-2 inhibitor, during period of RT for H&NC, did not reduce the severity of clinical OM, pain, dietary compromise or use of opioid analgesics. These findings also have implications for celecoxib use in H&NC treatment regimens (NCT00698204).",exclude
26716866,Effects of dexmedetomidine on oxygenation and lung mechanics in patients with moderate chronic obstructive pulmonary disease undergoing lung cancer surgery: A randomised double-blinded trial.,"BACKGROUND: Chronic obstructive pulmonary disease (COPD) is a risk factor that increases the incidence of postoperative cardiopulmonary morbidity and mortality after lung resection. Dexmedetomidine, a selective Î±2-adrenoreceptor agonist, has been reported previously to attenuate intrapulmonary shunt during one-lung ventilation (OLV) and to alleviate bronchoconstriction. OBJECTIVE: The objective is to determine whether dexmedetomidine improves oxygenation and lung mechanics in patients with moderate COPD during lung cancer surgery. DESIGN: A randomised, double-blinded, placebo-controlled study. SETTING: Single university hospital. PARTICIPANTS: Fifty patients scheduled for video-assisted thoracoscopic surgery who had moderate COPD. Patients were randomly allocated to a control group or a Dex group (nâ€Š=â€Š25 each). INTERVENTIONS: In the Dex group, dexmedetomidine was given as an initial loading dose of 1.0 â€ŠÎ¼g â€Škg(-1) over 10â€Š min followed by a maintenance dose of 0.5 â€ŠÎ¼g â€Škg(-1) â€Šh(-1) during OLV while the control group was administered a comparable volume of 0.9% saline. Data were measured at 30 â€Šmin (DEX-30) and 60 â€Šmin (DEX-60) after dexmedetomidine or saline administration during OLV. MAIN OUTCOME MEASURES: The primary outcome was the effect of dexmedetomidine on oxygenation. The secondary outcome was the effect of dexmedetomidine administration on postoperative pulmonary complications. RESULTS: Patients in the Dex group had a significantly higher PaO2/FIO2 ratio (27.9â€ŠÂ±â€Š5.8 vs. 22.5â€ŠÂ±â€Š8.4 and 28.6â€ŠÂ±â€Š5.9 vs. 21.0â€ŠÂ±â€Š9.9 kPa, Pâ€Š<â€Š0.05), significantly lower dead space ventilation (19.2â€ŠÂ±â€Š8.5 vs. 24.1â€ŠÂ±â€Š8.1 and 19.6â€ŠÂ±â€Š6.7 vs. 25.3â€ŠÂ±â€Š7.8%, Pâ€Š<â€Š0.05) and higher dynamic compliance at DEX-30 and DEX-60 (Pâ€Š=â€Š0.0001 and Pâ€Š=â€Š0.0184) compared with the control group. In the Dex group, the PaO2/FIO2 ratio in the postoperative period was significantly higher (Pâ€Š=â€Š0.022) and the incidence of ICU admission was lower than in the control group. CONCLUSION: Dexmedetomidine administration may provide clinically relevant benefits by improving oxygenation and lung mechanics in patients with moderate COPD undergoing lung cancer surgery. TRIAL REGISTRATION: ClinicalTrial.gov identifier: NCT 02185430.",exclude
24702571,Effect of intrathecal dexmedetomidine on spinal morphine analgesia in patients with refractory cancer pain.,"BACKGROUND: Systemic administration of dexmedetomidine has been shown to reduce opioid consumption and improve analgesia satisfaction. The purpose of this study was to investigate the effect of intrathecal dexmedetomidine on spinal morphine analgesia in patients with refractory cancer pain. METHODS: A double-blinded crossover study was designed and performed. Patients were randomly allocated in one of the two phases. Phase M received intrathecal morphine administration. Phase M+D received intrathecal morphine plus dexmedetomidine administration. All patients were monitored for 7 days and crossed over to alternate phase for another 1-week observation. Daily average visual analog scale (VAS) pain score, pain frequency, sleep deprivation, daily morphine consumption, bolus dose injection times, and side effects were all recorded. RESULTS: Pain intensity and frequency were significantly decreased in both phases compared with baseline. Daily morphine consumption and bolus dose injection times during phase M+D were significantly decreased compared with phase M. The incidences of constipation were significantly reduced in both phases compared with baseline administration, but nausea and vomiting were significantly increased. No serious side effects such as respiratory inhibition were observed in this study. CONCLUSIONS: Intrathecal administration of dexmedetomidine and morphine reduced the morphine consumption in patients with refractory cancer pain. There were no serious side effects.",exclude
28389324,Comparing the incidence of bone tumors in rats chronically exposed to the selective PTH type 1 receptor agonist abaloparatide or PTH(1-34).,"Prolonged treatment with human parathyroid hormone (hPTH) in rats results in development of bone tumors, though this finding has not been supported by clinical experience. The PTH type 1 receptor agonist abaloparatide, selected for its bone anabolic activity, is under clinical development to treat postmenopausal women with osteoporosis. To determine the carcinogenic potential of abaloparatide, Fischer (F344) rats were administered SC daily abaloparatide at doses of 0, 10, 25, and 50 μg/kg or 30 μg/kg hPTH(1-34) as a positive control for up to 2 years. Robust increases in bone density were achieved at all abaloparatide doses and with hPTH(1-34). Comprehensive histopathological analysis reflected a comparable continuum of proliferative changes in bone, mostly osteosarcoma, in both abaloparatide and hPTH(1-34) treated rats. Comparing the effects of abaloparatide and hPTH(1-34) at the 25 and 30 μg/kg respective doses, representing similar exposure multiples to the human therapeutic doses, revealed similar osteosarcoma-associated mortality, tumor incidence, age at first occurrence, and metastatic potential. There were no increases in the incidence of non-bone tumors with abaloparatide compared to vehicle. Thus, near life-long treatment with abaloparatide in rats resulted in dose and time dependent formation of osteosarcomas, with a comparable response to hPTH(1-34) at similar exposure.",exclude
29956761,Aclidinium bromide inhibits the growth and metastasis of gastric cancer MKN‑28 cells via the PI3K signaling pathway.,"The present study investigated the effect and underling mechanisms of aclidinium bromide, a novel, inhaled long‑acting muscarinic antagonist, on the development of gastric cancer. Human gastric cancer MKN‑28 cells, as a model in vitro, were treated with aclidinium bromide and dimethyl sulfoxide. Cell Counting Kit‑8 assay, transwell assay and flow cytometry were used to assess cell proliferation, invasion/migration and apoptosis, respectively. In addition, western blotting was performed to determine the relative expression of proteins associated with apoptosis and the phosphatidylinositol‑3‑kinase (PI3K) signaling pathway. Optical density values of MKN‑28 cells were decreased in a time‑ and dose‑dependent manner in the aclidinium bromide treated group. Matrigel invasion analysis demonstrated the number of invasive cells were significantly decreased in the aclidinium bromide‑treated group when compared with the control group. Furthermore, aclidinium bromide led to the marked reduction of the number of MKN‑28 cells passing though the microwells of the transwell chamber. The expression levels of the anti‑apoptotic protein B‑cell lymphoma 2 (Bcl‑2) decreased, and the expression of pro‑apoptotic proteins active Caspase3 and Bcl‑2‑associated X protein increased concurrently following aclidinium bromide stimulation using western blotting. The phosphorylation of protein kinase B and mechanistic target of rapamycin were significantly inhibited in MKN‑28 cells treated with aclidinium bromide; and the activity of the downstream proteins such as p70S6K and Cyclin D1 were also significantly decreased. In conclusion, aclidinium bromide could inhibit gastric cancer cell proliferation and metastasis, which may be associated with the enhancement of apoptosis induced by the PI3K signaling pathway.",include
21044629,"Acycloguanosyl 5'-thymidyltriphosphate, a thymidine analogue prodrug activated by telomerase, reduces pancreatic tumor growth in mice.","BACKGROUND & AIMS: Gemcitabine is the standard of care for metastatic and nonresectable pancreatic tumors. Phase II and III trials have not demonstrated efficacy of recently developed reagents, compared with gemcitabine alone; new chemotherapic agents are needed. Ninety percent of pancreatic tumors have telomerase activity, and expression correlates with tumor stage. We developed a thymidine analogue prodrug, acycloguanosyl 5'-thymidyltriphosphate (ACV-TP-T), that is metabolized by telomerase and releases the active form of acyclovir. We investigated the antitumor efficacy of ACV-TP-T in vitro and in vivo. METHODS: We evaluated proliferation and apoptosis of human pancreatic cancer cells (PANC-1, MiaPaca2, BxPc3, PL45, and Su.86.86) incubated with ACV-TP-T. The presence of ACV-TP-T and its metabolite inside the cells were analyzed by mass spectrometry. In vivo efficacy was evaluated in nude mice carrying PANC-1 or MiaPaca2 pancreatic xenograft tumors. RESULTS: The prodrug of ACV-TP-T was actively metabolized inside pancreatic cancer cells into the activated form of acyclovir; proliferation was reduced, apoptosis was increased, and the cell cycle was altered in pancreatic cancer incubated with ACV-TP-T, compared with controls. Administration of ACV-TP-T to mice reduced growth, increased apoptosis, and reduced proliferation and vascularization of pancreatic xenograft tumors. CONCLUSIONS: ACV-TP-T, a thymidine analogue that is metabolized by telomerase and releases the active form of acyclovir, reduces proliferation and induces apoptosis of human pancreatic cancer cell lines in vitro and pancreatic xenograft tumors in mice.",exclude
25890381,Albumin nanoparticles increase the anticancer efficacy of albendazole in ovarian cancer xenograft model.,"BACKGROUND: The poor prognosis of patients with drug resistant ovarian cancer and the lack of targeted therapy have raised the need for alternative treatments. Albendazole (ABZ) is an anti-parasite compound capable of impairing microtubule formation. We hypothesized that ABZ could be repurposed as a potential anti-angiogenic drug due to its potent inhibition of vascular endothelial growth factor (VEGF) in ovarian cancer with ascites. However, the poor aqueous solubility of ABZ limits its potential for cancer therapy. In this study, we have assembled ABZ with bovine serum albumin into nanoparticles with a size range of 7-10 nm (BSA-ABZ) and 200-250 nm (Nab-ABZ). We further examined the anticancer effects of ABZ carrying nanoparticles in ovarian cancer cells, in both in vitro and in vivo models. RESULTS: Drug release studies demonstrated that about 93% of ABZ was released from BSA-ABZ 10 nm in comparison to 83% from Nab-ABZ 200 nm at pH 7.4 in 8 days. In vitro cell proliferation studies showed that the BSA-ABZ 10 nm exhibited the highest killing efficacy of ovarian cancer cells with surprisingly least toxicity to healthy ovarian epithelial cells. Confocal microscopy and fluorescence activated cell sorting analysis (FACS) revealed more efficient internalization of the BSA-ABZ 10 nm by cancer cells. For in vivo studies, we examined the tumor growth, ascites formation and the expression of VEGF and secreted protein acidic and rich in cysteine (SPARC) in tumor samples and only VEGF in plasma samples. The BSA-ABZ 10 nm reduced the tumor burden significantly (p < 0.02) at a much lower drug dose (10 μg/ml) compare to free drug. Both formulations were capable of suppressing the ascites volume significantly (p < 0.05) and reducing the number of ascites cells. The expression of VEGF and SPARC was also reduced, which indicates the underlying therapeutic mechanism of the ABZ. CONCLUSION: Our data suggest that the BSA-ABZ may hold promise for the treatment and control of progression of ovarian cancer with ascites. However further studies are required to examine the efficacy of both the formulations in aggressive models of recurrent ovarian cancer with respect to particle size and dosing parameters.",exclude
